ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL4502,Cytidine deaminase,P32320,SINGLE PROTEIN,Homo sapiens,59,97,9606,FALSE
CHEMBL4295630,ADP-ribose glycohydrolase MACROD2,A1Z1Q3,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL3632452,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Q9UDY8,SINGLE PROTEIN,Homo sapiens,365,622,9606,FALSE
CHEMBL4105788,Inosine triphosphate pyrophosphatase,Q9BY32,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2519,Neutral alpha-glucosidase AB,Q14697,SINGLE PROTEIN,Homo sapiens,28,90,9606,FALSE
CHEMBL2311232,Endoribonuclease Dicer,Q9UPY3,SINGLE PROTEIN,Homo sapiens,10,19,9606,FALSE
CHEMBL4523508,Ubiquitin carboxyl-terminal hydrolase 15,Q9Y4E8,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL4630838,OTU domain-containing protein 7B,Q6GQQ9,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4630833,Ubiquitin thioesterase OTU1,Q5VVQ6,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4106183,Glutaminase 1/2,O94925|Q9UI32,PROTEIN FAMILY,Homo sapiens,3,5,9606,FALSE
CHEMBL4630825,Josephin-1,Q15040,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL1807,Sodium/potassium-transporting ATPase alpha-1 chain,P05023,SINGLE PROTEIN,Homo sapiens,7,7,9606,FALSE
CHEMBL4667,Group III secretory phopholipase A2,Q9NZ20,SINGLE PROTEIN,Homo sapiens,22,31,9606,FALSE
CHEMBL2095186,Sodium/potassium-transporting ATPase,P05023|P14415|P05026|P50993|P54709|P13637|Q13733|P54710,PROTEIN COMPLEX GROUP,Homo sapiens,353,381,9606,FALSE
CHEMBL4342,Group X secretory phospholipase A2,O15496,SINGLE PROTEIN,Homo sapiens,160,213,9606,FALSE
CHEMBL2520,Neutral alpha-glucosidase C,Q8TET4,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL3833502,Alpha glucosidase,O43451|P10253|P14410|Q2M2H8,PROTEIN FAMILY,Homo sapiens,623,737,9606,FALSE
CHEMBL3831182,Retinoid isomerohydrolase,Q16518,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL5172,Endo-beta-N-acetylglucosaminidase,Q8NFI3,SINGLE PROTEIN,Homo sapiens,51,63,9606,FALSE
CHEMBL4647,Peptide deformylase mitochondrial,Q9HBH1,SINGLE PROTEIN,Homo sapiens,140,168,9606,FALSE
CHEMBL2478,Salivary alpha-amylase,P0DUB6,SINGLE PROTEIN,Homo sapiens,62,100,9606,FALSE
CHEMBL1293320,Protein phosphatase methylesterase 1,Q9Y570,SINGLE PROTEIN,Homo sapiens,32,52,9606,FALSE
CHEMBL4802012,Sentrin-specific protease 5,Q96HI0,SINGLE PROTEIN,Homo sapiens,53,53,9606,FALSE
CHEMBL1909487,Protein-arginine deiminase type-2,Q9Y2J8,SINGLE PROTEIN,Homo sapiens,79,138,9606,FALSE
CHEMBL4105848,STAM-binding protein,O95630,SINGLE PROTEIN,Homo sapiens,28,28,9606,FALSE
CHEMBL3883318,Transforming protein RhoA/Rho-related GTP-binding protein RhoC,P61586|P08134,PROTEIN FAMILY,Homo sapiens,35,140,9606,FALSE
CHEMBL4630865,Ubiquitin carboxyl-terminal hydrolase 16,Q9Y5T5,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL3714531,Palmitoleoyl-protein carboxylesterase NOTUM,Q6P988,SINGLE PROTEIN,Homo sapiens,382,486,9606,FALSE
CHEMBL4191,Monoglyceride lipase,Q99685,SINGLE PROTEIN,Homo sapiens,1301,1836,9606,FALSE
CHEMBL4106136,DNA-PK/Ku70/Ku85,P78527|P12956|P13010,PROTEIN COMPLEX,Homo sapiens,23,23,9606,FALSE
CHEMBL4184,Lysosomal acid lipase/cholesteryl ester hydrolase,P38571,SINGLE PROTEIN,Homo sapiens,32,63,9606,FALSE
CHEMBL5338,Ectonucleoside triphosphate diphosphohydrolase 8,Q5MY95,SINGLE PROTEIN,Homo sapiens,74,96,9606,FALSE
CHEMBL4426,Phospholipase A2 group 1B,P04054,SINGLE PROTEIN,Homo sapiens,599,700,9606,FALSE
CHEMBL4295689,Diphosphoinositol polyphosphate phosphohydrolase 1,O95989,SINGLE PROTEIN,Homo sapiens,5,15,9606,FALSE
CHEMBL3901,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,P16615,SINGLE PROTEIN,Homo sapiens,45,53,9606,FALSE
