ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL1822,Inosine-5'-monophosphate dehydrogenase 1,P20839,SINGLE PROTEIN,Homo sapiens,184,221,9606,FALSE
CHEMBL4523423,Mitochondrial amidoxime reducing component 2,Q969Z3,SINGLE PROTEIN,Homo sapiens,21,38,9606,FALSE
CHEMBL5974,Dehydrogenase/reductase SDR family member 9,Q9BPW9,SINGLE PROTEIN,Homo sapiens,11,11,9606,FALSE
CHEMBL2438,Eosinophil peroxidase,P11678,SINGLE PROTEIN,Homo sapiens,7,8,9606,FALSE
CHEMBL4882,Pyruvate dehydrogenase E1 component beta subunit,P11177,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL4105963,Probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2,Q9H903,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL3108657,"3-hydroxyanthranilate 3,4-dioxygenase",P46952,SINGLE PROTEIN,Homo sapiens,19,58,9606,FALSE
CHEMBL402,HMG-CoA reductase,P04035,SINGLE PROTEIN,Homo sapiens,1318,2430,9606,FALSE
CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,P28845,SINGLE PROTEIN,Homo sapiens,3880,5752,9606,FALSE
CHEMBL2111402,5-lipoxygenase/FLAP,P09917|P20292,PROTEIN COMPLEX,Homo sapiens,29,82,9606,FALSE
CHEMBL4523659,IDH1/IDH2,O75874|P48735,PROTEIN FAMILY,Homo sapiens,6,6,9606,FALSE
CHEMBL4523986,Cytochrome P450,P08684|P04798|P33260|P20815|P05177|P78329|P11712|P51589|P33261|P10632|P10635|Q02928|P20813|Q16678|P11509|Q9HB55|P05181|P24462|Q8TAV3|Q08477|Q16696|P98187|P20853|P24903|Q6VVX0|Q96SQ9|Q7Z449|Q5TCH4|P13584,PROTEIN FAMILY,Homo sapiens,180,267,9606,FALSE
CHEMBL2311243,D-3-phosphoglycerate dehydrogenase,O43175,SINGLE PROTEIN,Homo sapiens,458,815,9606,FALSE
CHEMBL3102,Dopamine beta-hydroxylase,P09172,SINGLE PROTEIN,Homo sapiens,84,131,9606,FALSE
CHEMBL5758,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",P31040,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL4523486,Hydroxyproline dehydrogenase,Q9UF12,SINGLE PROTEIN,Homo sapiens,15,30,9606,FALSE
CHEMBL2823,Heme oxygenase 1,P09601,SINGLE PROTEIN,Homo sapiens,17,32,9606,FALSE
CHEMBL2321640,"Frataxin, mitochondrial",Q16595,SINGLE PROTEIN,Homo sapiens,7,9,9606,FALSE
CHEMBL5839,Delta(14)-sterol reductase,O76062,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL3257,Aldehyde oxidase,Q06278,SINGLE PROTEIN,Homo sapiens,235,422,9606,FALSE
CHEMBL3879825,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like,Q9NX74,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4523494,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,Q9UNU6,SINGLE PROTEIN,Homo sapiens,90,91,9606,FALSE
CHEMBL4523964,COX-1/COX-2,P35354|P23219,SELECTIVITY GROUP,Homo sapiens,171,176,9606,FALSE
CHEMBL3959,Quinone reductase 2,P16083,SINGLE PROTEIN,Homo sapiens,630,850,9606,FALSE
CHEMBL4879483,Fatty acid 2-hydroxylase,Q7L5A8,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL2169735,7-dehydrocholesterol reductase,Q9UBM7,SINGLE PROTEIN,Homo sapiens,15,28,9606,FALSE
CHEMBL3039,NADH-ubiquinone oxidoreductase 49 kDa subunit,O75306,SINGLE PROTEIN,Homo sapiens,2,3,9606,FALSE
CHEMBL612409,Anti-estrogen binding site (AEBS),Q15125|Q9UBM7,PROTEIN COMPLEX,Homo sapiens,68,121,9606,FALSE
CHEMBL2002,Inosine-5'-monophosphate dehydrogenase 2,P12268,SINGLE PROTEIN,Homo sapiens,1175,1323,9606,FALSE
CHEMBL4742296,Cereblon/Delta(24)-sterol reductase,Q15392|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL1966,Dihydroorotate dehydrogenase,Q02127,SINGLE PROTEIN,Homo sapiens,1901,2530,9606,FALSE
CHEMBL3627587,"Indoleamine 2,3-dioxygenase 2",Q6ZQW0,SINGLE PROTEIN,Homo sapiens,80,211,9606,FALSE
CHEMBL5433,Tryptophan 5-hydroxylase 2,Q8IWU9,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL4523344,Methylcytosine dioxygenase TET2,Q6N021,SINGLE PROTEIN,Homo sapiens,16,27,9606,FALSE
CHEMBL1969,Tyrosine 3-hydroxylase,P07101,SINGLE PROTEIN,Homo sapiens,13,13,9606,FALSE
CHEMBL4106157,GABA-A receptor alpha-4/beta-3/delta,P28472|P48169|Q06278,PROTEIN COMPLEX,Homo sapiens,21,21,9606,FALSE
CHEMBL1741216,NADPH oxidase 3,Q9HBY0,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL4105776,"Superoxide dismutase [Mn], mitochondrial",P04179,SINGLE PROTEIN,Homo sapiens,6,6,9606,FALSE
CHEMBL4295926,Lysyl oxidase homolog 4,Q96JB6,SINGLE PROTEIN,Homo sapiens,15,29,9606,FALSE
CHEMBL3730,Dihydropteridine reductase,P09417,SINGLE PROTEIN,Homo sapiens,26,29,9606,FALSE
