ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL3317334,Proteasome subunit beta type-10,P40306,SINGLE PROTEIN,Homo sapiens,163,247,9606,FALSE
CHEMBL6121,Disintegrin and metalloproteinase domain-containing protein 33,Q9BZ11,SINGLE PROTEIN,Homo sapiens,12,14,9606,FALSE
CHEMBL2111361,Cathepsin (V and K),P43235|O60911,SELECTIVITY GROUP,Homo sapiens,46,46,9606,FALSE
CHEMBL3419,Carboxypeptidase B2 isoform A,Q96IY4,SINGLE PROTEIN,Homo sapiens,305,351,9606,FALSE
CHEMBL1293295,Ubiquitin carboxyl-terminal hydrolase 14,P54578,SINGLE PROTEIN,Homo sapiens,20,28,9606,FALSE
CHEMBL2963,Matrix metalloproteinase 15,P51511,SINGLE PROTEIN,Homo sapiens,43,48,9606,FALSE
CHEMBL4662,Proteasome Macropain subunit MB1,P28074,SINGLE PROTEIN,Homo sapiens,1325,2227,9606,FALSE
CHEMBL3922,Methionine aminopeptidase 2,P50579,SINGLE PROTEIN,Homo sapiens,1083,1504,9606,FALSE
CHEMBL2319,Kallikrein 1,P06870,SINGLE PROTEIN,Homo sapiens,540,581,9606,FALSE
CHEMBL3883324,Urokinase-type plasminogen activator/surface receptor,P00749|Q03405,PROTEIN-PROTEIN INTERACTION,Homo sapiens,3,11,9606,FALSE
CHEMBL4742321,Cereblon/Transmembrane protease serine 4,Q9NRS4|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL3182,Prohormone convertase 1,P29120,SINGLE PROTEIN,Homo sapiens,6,6,9606,FALSE
CHEMBL2088,Carboxypeptidase A1,P15085,SINGLE PROTEIN,Homo sapiens,109,146,9606,FALSE
CHEMBL2474,Methionine aminopeptidase 1,P53582,SINGLE PROTEIN,Homo sapiens,463,611,9606,FALSE
CHEMBL2111396,Cathepsin (B and K),P43235|P07858,SELECTIVITY GROUP,Homo sapiens,75,76,9606,FALSE
CHEMBL4713,"Carboxypeptidase N, catalytic subunit",P15169,SINGLE PROTEIN,Homo sapiens,30,37,9606,FALSE
CHEMBL5037,Caspase-10,Q92851,SINGLE PROTEIN,Homo sapiens,21,22,9606,FALSE
CHEMBL3411,Prenyl protein specific protease,Q9Y256,SINGLE PROTEIN,Homo sapiens,299,365,9606,FALSE
CHEMBL2406899,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,Q93008,SINGLE PROTEIN,Homo sapiens,273,488,9606,FALSE
CHEMBL4863,Kallikrein 13,Q9UKR3,SINGLE PROTEIN,Homo sapiens,13,14,9606,FALSE
CHEMBL2693,Cystinyl aminopeptidase,Q9UIQ6,SINGLE PROTEIN,Homo sapiens,237,301,9606,FALSE
CHEMBL5665,Disintegrin and metalloproteinase domain-containing protein 8,P78325,SINGLE PROTEIN,Homo sapiens,23,23,9606,FALSE
CHEMBL2364701,26S proteasome,Q99460|P49721|P20618|P28074|P28062|P28065|P28072|O00487|P25786|P25787|P25788|P25789|P28066|P60900|O14818|Q8TAA3|P40306|A5LHX3|P49720|P28070|Q99436|Q16186|P35998|P62191|P43686|P62333|P17980|P62195|Q13200|O43242|O00232|O00231|Q15008|P51665|Q9UNM6|P55036|P48556|P60896,PROTEIN COMPLEX,Homo sapiens,65,143,9606,FALSE
CHEMBL3407323,Ubiquitin carboxyl-terminal hydrolase 10,Q14694,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL1801,Plasminogen,P00747,SINGLE PROTEIN,Homo sapiens,1972,2312,9606,FALSE
CHEMBL4446,Kallikrein 4,Q9Y5K2,SINGLE PROTEIN,Homo sapiens,41,50,9606,FALSE
CHEMBL2316,Granzyme B,P10144,SINGLE PROTEIN,Homo sapiens,45,52,9606,FALSE
CHEMBL5620,Proteasome subunit beta type-8,P28062,SINGLE PROTEIN,Homo sapiens,422,589,9606,FALSE
CHEMBL4801,Caspase-1,P29466,SINGLE PROTEIN,Homo sapiens,4899,6165,9606,FALSE
CHEMBL2264,Puromycin-sensitive aminopeptidase,P55786,SINGLE PROTEIN,Homo sapiens,30,33,9606,FALSE
CHEMBL3407324,Ubiquitin carboxyl-terminal hydrolase 13,Q92995,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL3430905,Caspase-3/Caspase-7,P42574|P55210,PROTEIN FAMILY,Homo sapiens,9,16,9606,FALSE
CHEMBL4939,Carboxypeptidase A2,P48052,SINGLE PROTEIN,Homo sapiens,11,11,9606,FALSE
