ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL3108641,Transcription initiation factor TFIID subunit 1-like,Q8IZX4,SINGLE PROTEIN,Homo sapiens,99,129,9606,FALSE
CHEMBL3108644,Bromodomain and PHD finger-containing protein 3,Q9ULD4,SINGLE PROTEIN,Homo sapiens,114,140,9606,FALSE
CHEMBL4106143,BRD4/HDAC1,Q13547|O60885,PROTEIN COMPLEX,Homo sapiens,3,6,9606,FALSE
CHEMBL4296133,Cereblon/Cullin-4A/Bromodomain-containing protein 4,O60885|Q96SW2|Q13619,PROTEIN-PROTEIN INTERACTION,Homo sapiens,20,37,9606,FALSE
CHEMBL3108640,Bromodomain-containing protein 9,Q9H8M2,SINGLE PROTEIN,Homo sapiens,412,601,9606,FALSE
CHEMBL3430889,Lysine-specific demethylase 4A/Lysine-specific demethylase 4B,O75164|O94953,PROTEIN COMPLEX,Homo sapiens,1,19,9606,FALSE
CHEMBL3638346,Methyl-CpG-binding protein 2,P51608,SINGLE PROTEIN,Homo sapiens,12,12,9606,FALSE
CHEMBL5500,Histone acetyltransferase PCAF,Q92831,SINGLE PROTEIN,Homo sapiens,617,851,9606,FALSE
CHEMBL4296144,von Hippel-Lindau disease tumor suppressor/Bromodomain-containing protein 3,Q15059|P40337,PROTEIN-PROTEIN INTERACTION,Homo sapiens,9,12,9606,FALSE
CHEMBL1795185,Bromodomain testis-specific protein,Q58F21,SINGLE PROTEIN,Homo sapiens,254,481,9606,FALSE
CHEMBL4105828,Tudor domain-containing protein 7,Q8NHU6,SINGLE PROTEIN,Homo sapiens,2,4,9606,FALSE
CHEMBL2362979,Probable global transcription activator SNF2L2,P51531,SINGLE PROTEIN,Homo sapiens,348,402,9606,FALSE
CHEMBL2150837,ATPase family AAA domain-containing protein 2,Q6PL18,SINGLE PROTEIN,Homo sapiens,369,586,9606,FALSE
CHEMBL1287623,Lethal(3)malignant brain tumor-like protein 3,Q96JM7,SINGLE PROTEIN,Homo sapiens,123,221,9606,FALSE
CHEMBL2163177,Lysine-specific demethylase 7,Q6ZMT4,SINGLE PROTEIN,Homo sapiens,20,35,9606,FALSE
CHEMBL4296267,Tripartite motif-containing protein 66,O15016,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL3826866,Chromobox protein homolog 3,Q13185,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL3627580,Protein kinase C-binding protein 1,Q9ULU4,SINGLE PROTEIN,Homo sapiens,8,8,9606,FALSE
CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL,O00255|Q03164,PROTEIN-PROTEIN INTERACTION,Homo sapiens,44325,48111,9606,FALSE
CHEMBL4523746,F-box-like/WD repeat-containing protein TBL1XR1/B-cell lymphoma 6 protein,P41182|Q9BZK7,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL3085621,Nucleosome-remodeling factor subunit BPTF,Q12830,SINGLE PROTEIN,Homo sapiens,113,180,9606,FALSE
CHEMBL3108639,Cat eye syndrome critical region protein 2,Q9BXF3,SINGLE PROTEIN,Homo sapiens,217,290,9606,FALSE
CHEMBL1795118,Histone-lysine N-methyltransferase SUV39H1,O43463,SINGLE PROTEIN,Homo sapiens,69,77,9606,FALSE
CHEMBL4296108,HIF1A/p300/CREB-binding protein,Q09472|Q16665|Q92793,PROTEIN-PROTEIN INTERACTION,Homo sapiens,7,13,9606,FALSE
CHEMBL4665593,CBP/beta catenin,Q92793|P35222,PROTEIN-PROTEIN INTERACTION,Homo sapiens,,,9606,FALSE
CHEMBL3108643,Nuclear body protein SP140,Q13342,SINGLE PROTEIN,Homo sapiens,52,54,9606,FALSE
CHEMBL1741210,M-phase phosphoprotein 8,Q99549,SINGLE PROTEIN,Homo sapiens,582,656,9606,FALSE
CHEMBL1287624,Lethal(3)malignant brain tumor-like protein 4,Q8NA19,SINGLE PROTEIN,Homo sapiens,99,124,9606,FALSE
CHEMBL4523425,SAGA-associated factor 29,Q96ES7,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4523440,Spindlin-2B,Q9BPZ2,SINGLE PROTEIN,Homo sapiens,3,4,9606,FALSE
CHEMBL2189113,Histone-lysine N-methyltransferase MLL3,Q8NEZ4,SINGLE PROTEIN,Homo sapiens,34,34,9606,FALSE
CHEMBL2189114,Histone-lysine N-methyltransferase MLL2,O14686,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL4296614,Bromodomain and extra-terminal motif (BET),P25440|O60885|Q58F21|Q15059,PROTEIN FAMILY,Homo sapiens,,,9606,FALSE
CHEMBL4295761,Protein AF-9,P42568,SINGLE PROTEIN,Homo sapiens,35,87,9606,FALSE
CHEMBL3707462,Methyl-CpG-binding domain protein 2,Q9UBB5,SINGLE PROTEIN,Homo sapiens,8,8,9606,FALSE
CHEMBL4295681,WD repeat and HMG-box DNA-binding protein 1,O75717,SINGLE PROTEIN,Homo sapiens,2,3,9606,FALSE
CHEMBL3137282,MLL1/ASH2L/RBBP5/WDR5 complex,P61964|Q03164|Q9UBL3|Q15291,PROTEIN COMPLEX,Homo sapiens,10,16,9606,FALSE
CHEMBL4748230,VHL/Methylosome protein 50,Q9BQA1|P40337,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL1764945,PHD finger protein 13,Q86YI8,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL3826867,Chromobox protein homolog 5,P45973,SINGLE PROTEIN,Homo sapiens,48,49,9606,FALSE
CHEMBL3232684,Chromobox protein homolog 8,Q9HC52,SINGLE PROTEIN,Homo sapiens,71,73,9606,FALSE
CHEMBL4296150,von Hippel-Lindau disease tumor suppressor/Elongin-B/Elongin-C/Bromodomain-containing protein 3,Q15059|P40337|Q15370|Q15369,PROTEIN-PROTEIN INTERACTION,Homo sapiens,9,22,9606,FALSE
CHEMBL3351192,Bromodomain and WD repeat-containing protein 1,Q9NSI6,SINGLE PROTEIN,Homo sapiens,47,50,9606,FALSE
CHEMBL4106124,MLL1-ASH2L/RbBP5/WDR5/DPY30,P61964|Q03164|Q9UBL3|Q15291|Q9C005,PROTEIN-PROTEIN INTERACTION,Homo sapiens,42,42,9606,FALSE
CHEMBL1938210,Lysine-specific demethylase 2A,Q9Y2K7,SINGLE PROTEIN,Homo sapiens,132,171,9606,FALSE
CHEMBL1764944,"Scm-like with four mbt domains 1, isoform CRA_b",Q9UHJ3,SINGLE PROTEIN,Homo sapiens,80,106,9606,FALSE
CHEMBL3885560,DNMT3B-DNMT3L complex,Q9UBC3|Q9UJW3,PROTEIN COMPLEX,Homo sapiens,22,23,9606,FALSE
CHEMBL4105997,Nuclear body protein SP140-like protein,Q9H930,SINGLE PROTEIN,Homo sapiens,16,17,9606,FALSE
CHEMBL3879864,Testis-specific chromodomain protein Y 1,Q9Y6F8,SINGLE PROTEIN,Homo sapiens,55,56,9606,FALSE
CHEMBL3763005,Pleckstrin homology domain-containing family A member 1,Q9HB21,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL4105959,Survival of motor neuron-related-splicing factor 30,O75940,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL1293299,Histone-lysine N-methyltransferase MLL,Q03164,SINGLE PROTEIN,Homo sapiens,17243,17272,9606,FALSE
CHEMBL6175,Lysine-specific demethylase 4C,Q9H3R0,SINGLE PROTEIN,Homo sapiens,859,1089,9606,FALSE
CHEMBL2189112,Histone-lysine N-methyltransferase MLL4,Q9UMN6,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL2321646,Histone-lysine N-methyltransferase SETDB1,Q15047,SINGLE PROTEIN,Homo sapiens,56,62,9606,FALSE
CHEMBL1795177,Histone-lysine N-methyltransferase SUV39H2,Q9H5I1,SINGLE PROTEIN,Homo sapiens,512,516,9606,FALSE
CHEMBL3769296,Bromodomain and WD repeat-containing protein 3,Q6RI45,SINGLE PROTEIN,Homo sapiens,17,17,9606,FALSE
CHEMBL4523708,Protein cereblon/Histone acetyltransferase KAT2B,Q92831|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,2,9606,FALSE
CHEMBL3779762,Chromobox protein homolog 6,O95503,SINGLE PROTEIN,Homo sapiens,19,20,9606,FALSE
CHEMBL4296148,von Hippel-Lindau disease tumor suppressor/Elongin-B/Elongin-C/Bromodomain-containing protein 4,O60885|P40337|Q15370|Q15369,PROTEIN-PROTEIN INTERACTION,Homo sapiens,9,42,9606,FALSE
CHEMBL3085620,Transcription activator BRG1,P51532,SINGLE PROTEIN,Homo sapiens,179,216,9606,FALSE
CHEMBL4523329,Transcription initiation factor TFIID subunit 3,Q5VWG9,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2424509,Tumor suppressor p53-binding protein 1,Q12888,SINGLE PROTEIN,Homo sapiens,95,103,9606,FALSE
CHEMBL5747,CREB-binding protein,Q92793,SINGLE PROTEIN,Homo sapiens,979,1480,9606,FALSE
CHEMBL1287622,Lethal(3)malignant brain tumor-like protein 1,Q9Y468,SINGLE PROTEIN,Homo sapiens,13945,14535,9606,FALSE
CHEMBL3301383,CREB-binding protein/p53,P04637|Q92793,PROTEIN-PROTEIN INTERACTION,Homo sapiens,2,3,9606,FALSE
CHEMBL2424508,PHD finger protein 23,Q9BUL5,SINGLE PROTEIN,Homo sapiens,78,81,9606,FALSE
CHEMBL1163125,Bromodomain-containing protein 4,O60885,SINGLE PROTEIN,Homo sapiens,6158,11108,9606,FALSE
CHEMBL1741193,Chromobox protein homolog 1,P83916,SINGLE PROTEIN,Homo sapiens,92059,92434,9606,FALSE
CHEMBL2176772,E3 ubiquitin-protein ligase TRIM33,Q9UPN9,SINGLE PROTEIN,Homo sapiens,147,156,9606,FALSE
CHEMBL3988590,PC4 and SFRS1-interacting protein,O75475,SINGLE PROTEIN,Homo sapiens,6,8,9606,FALSE
CHEMBL4523753,Protein cereblon/Bromodomain-containing protein 3,Q15059|Q96SW2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL3588739,Histone-lysine N-methyltransferase ASH1L,Q9NR48,SINGLE PROTEIN,Homo sapiens,452,457,9606,FALSE
CHEMBL1932912,Histone acetyltransferase KAT8,Q9H7Z6,SINGLE PROTEIN,Homo sapiens,78,177,9606,FALSE
CHEMBL1287625,MBT domain-containing protein 1,Q05BQ5,SINGLE PROTEIN,Homo sapiens,121,144,9606,FALSE
CHEMBL4296073,Lysine-specific demethylase 5A/5B,P29375|Q9UGL1,PROTEIN FAMILY,Homo sapiens,88,101,9606,FALSE
CHEMBL1795186,Bromodomain-containing protein 3,Q15059,SINGLE PROTEIN,Homo sapiens,589,981,9606,FALSE
CHEMBL3108642,Bromodomain adjacent to zinc finger domain protein 2A,Q9UIF9,SINGLE PROTEIN,Homo sapiens,135,170,9606,FALSE
CHEMBL2176774,Bromodomain-containing protein 1,O95696,SINGLE PROTEIN,Homo sapiens,154,230,9606,FALSE
