ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL4769,Geranylgeranyl pyrophosphate synthetase,O95749,SINGLE PROTEIN,Homo sapiens,375,711,9606,FALSE
CHEMBL2916,Telomerase reverse transcriptase,O14746,SINGLE PROTEIN,Homo sapiens,1160,2382,9606,FALSE
CHEMBL3038510,PI3K p110 beta/p85 alpha,P27986|P42338,PROTEIN COMPLEX,Homo sapiens,870,918,9606,FALSE
CHEMBL3611965,Phosphatidylcholine:ceramide cholinephosphotransferase 1,Q86VZ5,SINGLE PROTEIN,Homo sapiens,116,149,9606,FALSE
CHEMBL4295684,Adenylyltransferase and sulfurtransferase MOCS3,O95396,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL2300,Glycerol kinase,P32189,SINGLE PROTEIN,Homo sapiens,6,6,9606,FALSE
CHEMBL4742318,Cereblon/Histone-lysine N-methyltransferase PRDM16,Q96SW2|Q9HAZ2,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL4295998,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,O60566,SINGLE PROTEIN,Homo sapiens,5,5,9606,FALSE
CHEMBL3145,PI3-kinase p110-beta subunit,P42338,SINGLE PROTEIN,Homo sapiens,3059,3843,9606,FALSE
CHEMBL3130,PI3-kinase p110-delta subunit,O00329,SINGLE PROTEIN,Homo sapiens,4640,6173,9606,FALSE
CHEMBL4295851,E3 ubiquitin-protein ligase UBR4,Q5T4S7,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL5391,DNA polymerase iota,Q9UNA4,SINGLE PROTEIN,Homo sapiens,115090,116820,9606,FALSE
CHEMBL3407326,Pantothenate kinase 1,Q8TE04,SINGLE PROTEIN,Homo sapiens,30,31,9606,FALSE
CHEMBL1914260,DNA-directed DNA/RNA polymerase mu,Q9NP87,SINGLE PROTEIN,Homo sapiens,10,10,9606,FALSE
CHEMBL4742320,Cereblon/Ubiquitin-conjugating enzyme E2 T,Q96SW2|Q9NPD8,PROTEIN-PROTEIN INTERACTION,Homo sapiens,1,1,9606,FALSE
CHEMBL3627585,Pseudopodium-enriched atypical kinase 1,Q9H792,SINGLE PROTEIN,Homo sapiens,14,16,9606,FALSE
CHEMBL4105942,Diacylglycerol kinase zeta,Q13574,SINGLE PROTEIN,Homo sapiens,13,13,9606,FALSE
CHEMBL3391661,Betaine-homocysteine S-methyltransferase,Q93088|Q9H2M3,PROTEIN FAMILY,Homo sapiens,,,9606,FALSE
CHEMBL4523422,NEDD8-conjugating enzyme UBE2F,Q969M7,SINGLE PROTEIN,Homo sapiens,1,2,9606,FALSE
CHEMBL3616354,"Branched-chain-amino-acid aminotransferase, mitochondrial",O15382,SINGLE PROTEIN,Homo sapiens,116,166,9606,FALSE
CHEMBL4989,Guanylate kinase,Q16774,SINGLE PROTEIN,Homo sapiens,5,10,9606,FALSE
CHEMBL1287617,UDP-glucuronosyltransferase 1-1,P22309,SINGLE PROTEIN,Homo sapiens,237,442,9606,FALSE
CHEMBL3619,UDP-glucuronosyltransferase 1A4,P22310,SINGLE PROTEIN,Homo sapiens,203,288,9606,FALSE
CHEMBL3509592,Diamine acetyltransferase 2,Q96F10,SINGLE PROTEIN,Homo sapiens,6,15,9606,FALSE
CHEMBL4630854,N-alpha-acetyltransferase 50,Q9GZZ1,SINGLE PROTEIN,Homo sapiens,22,57,9606,FALSE
CHEMBL4105954,Histone-lysine N-methyltransferase SETD1A,O15047,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL5366,Poly [ADP-ribose] polymerase 2,Q9UGN5,SINGLE PROTEIN,Homo sapiens,754,954,9606,FALSE
CHEMBL4739701,E3 ubiquitin-protein ligase ZFP91,Q96JP5,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4699,Isoprenylcysteine carboxyl methyltransferase,O60725,SINGLE PROTEIN,Homo sapiens,439,596,9606,FALSE
CHEMBL1293194,"Carnitine O-palmitoyltransferase 1, liver isoform",P50416,SINGLE PROTEIN,Homo sapiens,498,507,9606,FALSE
CHEMBL3137295,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Q9NRN7,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL2346,Estrogen sulfotransferase,P49888,SINGLE PROTEIN,Homo sapiens,55,185,9606,FALSE
