[2024-05-18 14:34:47,581::train::INFO] Building model...
[2024-05-18 14:34:54,814::train::INFO] Training model...
[2024-05-18 14:54:46,618::train::INFO] [Validation] Iter 200 | reward 0.700746
[2024-05-18 14:54:46,626::train::INFO] [Validation] New Best model!
[2024-05-18 15:14:14,289::train::INFO] [Validation] Iter 400 | reward 0.632940
[2024-05-18 15:33:33,861::train::INFO] [Validation] Iter 600 | reward 0.600637
[2024-05-18 15:52:51,980::train::INFO] [Validation] Iter 800 | reward 0.673619
[2024-05-18 16:12:17,443::train::INFO] [Validation] Iter 1000 | reward 0.652866
[2024-05-18 16:31:48,291::train::INFO] [Validation] Iter 1200 | reward 0.596829
[2024-05-18 16:51:23,273::train::INFO] [Validation] Iter 1400 | reward 0.615355
[2024-05-18 17:11:08,651::train::INFO] [Validation] Iter 1600 | reward 0.654763
[2024-05-18 17:30:47,735::train::INFO] [Validation] Iter 1800 | reward 0.619047
[2024-05-18 17:50:27,232::train::INFO] [Validation] Iter 2000 | reward 0.685731
[2024-05-18 18:10:02,468::train::INFO] [Validation] Iter 2200 | reward 0.675414
[2024-05-18 18:29:32,904::train::INFO] [Validation] Iter 2400 | reward 0.587540
[2024-05-18 18:49:10,504::train::INFO] [Validation] Iter 2600 | reward 0.634424
[2024-05-18 19:08:42,253::train::INFO] [Validation] Iter 2800 | reward 0.607033
[2024-05-18 19:28:12,816::train::INFO] [Validation] Iter 3000 | reward 0.671497
[2024-05-18 19:47:17,713::train::INFO] [Validation] Iter 3200 | reward 0.654581
[2024-05-18 20:06:18,053::train::INFO] [Validation] Iter 3400 | reward 0.657927
[2024-05-18 20:25:44,809::train::INFO] [Validation] Iter 3600 | reward 0.676772
[2024-05-18 20:45:21,836::train::INFO] [Validation] Iter 3800 | reward 0.688902
[2024-05-18 21:04:52,084::train::INFO] [Validation] Iter 4000 | reward 0.683761
[2024-05-18 21:24:27,572::train::INFO] [Validation] Iter 4200 | reward 0.676307
[2024-05-18 21:44:01,924::train::INFO] [Validation] Iter 4400 | reward 0.670755
[2024-05-18 22:03:30,454::train::INFO] [Validation] Iter 4600 | reward 0.608636
[2024-05-18 22:22:57,321::train::INFO] [Validation] Iter 4800 | reward 0.677037
[2024-05-18 22:42:30,902::train::INFO] [Validation] Iter 5000 | reward 0.669393
[2024-05-18 23:02:09,763::train::INFO] [Validation] Iter 5200 | reward 0.666012
[2024-05-18 23:21:44,796::train::INFO] [Validation] Iter 5400 | reward 0.663940
[2024-05-18 23:41:18,096::train::INFO] [Validation] Iter 5600 | reward 0.684679
[2024-05-19 00:00:54,769::train::INFO] [Validation] Iter 5800 | reward 0.653212
[2024-05-19 00:20:19,646::train::INFO] [Validation] Iter 6000 | reward 0.623383
[2024-05-19 00:39:46,258::train::INFO] [Validation] Iter 6200 | reward 0.622225
[2024-05-19 00:59:18,831::train::INFO] [Validation] Iter 6400 | reward 0.690752
