ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL2095149,Opioid receptors; mu & delta,P41143|P35372,SELECTIVITY GROUP,Homo sapiens,1288,1530,9606,FALSE
CHEMBL3540,G-protein coupled receptor ChemR23,Q99788,SINGLE PROTEIN,Homo sapiens,328,396,9606,FALSE
CHEMBL1075178,Neuromedin-U receptor 1,Q9HB89,SINGLE PROTEIN,Homo sapiens,220,374,9606,FALSE
CHEMBL3399910,Probable G-protein coupled receptor 88,Q9GZN0,SINGLE PROTEIN,Homo sapiens,345,630,9606,FALSE
CHEMBL2111445,Muscarinic acetylcholine receptor M2 and M4,P08173|P08172,SELECTIVITY GROUP,Homo sapiens,216,224,9606,FALSE
CHEMBL1881,Prostanoid EP2 receptor,P43116,SINGLE PROTEIN,Homo sapiens,1128,1700,9606,FALSE
CHEMBL3309102,Probable G-protein coupled receptor 135,Q8IZ08,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL5409,G-protein coupled bile acid receptor 1,Q8TDU6,SINGLE PROTEIN,Homo sapiens,896,1598,9606,FALSE
CHEMBL4523927,Trace amine-associated receptor 2,Q9P1P5,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL1785,Endothelin receptor ET-B,P24530,SINGLE PROTEIN,Homo sapiens,1414,1621,9606,FALSE
CHEMBL3473,C-C chemokine receptor type 3,P51677,SINGLE PROTEIN,Homo sapiens,1368,1664,9606,FALSE
CHEMBL4524011,P2Y receptor,Q9H244|P51582|P47900|P41231|Q15391|Q15077|Q96G91|Q9BPV8,PROTEIN FAMILY,Homo sapiens,4,4,9606,FALSE
CHEMBL4523878,Opsin-5,Q6U736,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL5857,Trace amine-associated receptor 1,Q96RJ0,SINGLE PROTEIN,Homo sapiens,715,1394,9606,FALSE
CHEMBL4523871,Probable G-protein coupled receptor 162,Q16538,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4523912,G-protein coupled receptor 20,Q99678,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
