ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL1075319,Transient receptor potential cation channel subfamily M member 8,Q7Z2W7,SINGLE PROTEIN,Homo sapiens,774,1031,9606,FALSE
CHEMBL2363001,Potassium voltage-gated channel subfamily A member 10,Q16322,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2321614,Potassium channel subfamily K member 9,Q9NPC2,SINGLE PROTEIN,Homo sapiens,127,186,9606,FALSE
CHEMBL5529,Voltage-gated potassium channel subunit Kv3.1,P48547,SINGLE PROTEIN,Homo sapiens,7,7,9606,FALSE
CHEMBL2925,Voltage-gated potassium channel subunit Kv7.5,Q9NR82,SINGLE PROTEIN,Homo sapiens,32,40,9606,FALSE
CHEMBL1845,Sodium channel protein type I alpha subunit,P35498,SINGLE PROTEIN,Homo sapiens,186,409,9606,FALSE
CHEMBL3119,Transient receptor potential cation channel subfamily V member 4,Q9HBA0,SINGLE PROTEIN,Homo sapiens,613,752,9606,FALSE
CHEMBL3988640,Voltage-dependent P/Q-type calcium channel alpha1A/alpha2delta/beta1b,P54289|O00555|Q02641,PROTEIN COMPLEX,Homo sapiens,6,6,9606,FALSE
CHEMBL1250402,Transient receptor potential cation channel subfamily M member 2,O94759,SINGLE PROTEIN,Homo sapiens,209,348,9606,FALSE
CHEMBL1914276,Inward rectifier potassium channel 2,P63252,SINGLE PROTEIN,Homo sapiens,31,36,9606,FALSE
CHEMBL3381,Small conductance calcium-activated potassium channel protein 3,Q9UGI6,SINGLE PROTEIN,Homo sapiens,73,139,9606,FALSE
CHEMBL5051,Transient receptor potential cation channel subfamily V member 2,Q9Y5S1,SINGLE PROTEIN,Homo sapiens,7,8,9606,FALSE
CHEMBL1250417,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,Q9Y3Q4,SINGLE PROTEIN,Homo sapiens,80,91,9606,FALSE
CHEMBL4523660,TRPC1/TRPC5,Q9UL62|P48995,PROTEIN COMPLEX,Homo sapiens,2,2,9606,FALSE
CHEMBL1628469,Transient receptor potential cation channel subfamily M member 4,Q8TD43,SINGLE PROTEIN,Homo sapiens,21,21,9606,FALSE
CHEMBL1628470,Transient receptor potential cation channel subfamily M member 6,Q9BX84,SINGLE PROTEIN,Homo sapiens,206,207,9606,FALSE
CHEMBL3038488,Kir3.1/Kir3.4,P48549|P48544,PROTEIN COMPLEX,Homo sapiens,250,483,9606,FALSE
CHEMBL3038489,Kir3.1/Kir3.2,P48549|P48051,PROTEIN COMPLEX,Homo sapiens,177,360,9606,FALSE
CHEMBL3585,Sodium channel protein type VII alpha subunit,Q01118,SINGLE PROTEIN,Homo sapiens,38,76,9606,FALSE
CHEMBL2406895,G protein-activated inward rectifier potassium channel 2,P48051,SINGLE PROTEIN,Homo sapiens,12,12,9606,FALSE
CHEMBL4770,"Potassium channel, inwardly rectifying, subfamily J, member 8",Q15842,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL3038490,Kir3.2/Kir3.3,P48051|Q92806,PROTEIN COMPLEX,Homo sapiens,14,15,9606,FALSE
CHEMBL4523668,SCN1A/SCN1B,P35498|Q07699,PROTEIN COMPLEX,Homo sapiens,7,7,9606,FALSE
CHEMBL4523670,SCN9A/SCN1B,Q15858|Q07699,PROTEIN COMPLEX,Homo sapiens,5,5,9606,FALSE
CHEMBL5465,Polycystin-2,Q13563,SINGLE PROTEIN,Homo sapiens,27,33,9606,FALSE
CHEMBL3559708,Transient receptor potential cation channel subfamily M member 3,Q9HCF6,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",Q14654|O60706,PROTEIN COMPLEX,Homo sapiens,119,426,9606,FALSE
CHEMBL4266,Voltage-gated P/Q-type calcium channel alpha-1A subunit,O00555,SINGLE PROTEIN,Homo sapiens,4,4,9606,FALSE
CHEMBL1886,"Potassium channel, inwardly rectifying, subfamily J, member 11",Q14654,SINGLE PROTEIN,Homo sapiens,111,111,9606,FALSE
CHEMBL2363009,Potassium voltage-gated channel subfamily C member 2,Q96PR1,SINGLE PROTEIN,Homo sapiens,12,22,9606,FALSE
CHEMBL4523157,Potassium channel subfamily K member 5,O95279,SINGLE PROTEIN,Homo sapiens,2,4,9606,FALSE
CHEMBL1293243,MCOLN3 protein,Q8TDD5,SINGLE PROTEIN,Homo sapiens,281,319,9606,FALSE
CHEMBL2331043,Sodium channel alpha subunit,P35498|Q14524|P35499|Q01118|Q99250|Q15858|Q9NY46|Q9UI33|Q9UQD0|Q9Y5Y9,PROTEIN FAMILY,Homo sapiens,25,30,9606,FALSE
CHEMBL4296083,Short transient receptor potential channel 1 & 3/Stromal interaction molecule 1/Calcium release-activated calcium channel protein 1,Q96D31|Q13507|Q13586|P48995,PROTEIN COMPLEX,Homo sapiens,36,72,9606,FALSE
CHEMBL3885598,Kv channel-interacting protein 2/Potassium voltage-gated channel subfamily D member 3,Q9UK17|Q9NS61,PROTEIN COMPLEX,Homo sapiens,8,8,9606,FALSE
CHEMBL3038495,Calcium-activated potassium channel alpha/beta 1,Q12791|Q16558,PROTEIN COMPLEX,Homo sapiens,8,32,9606,FALSE
CHEMBL2417347,Short transient receptor potential channel 6,Q9Y210,SINGLE PROTEIN,Homo sapiens,61,64,9606,FALSE
CHEMBL1940,Voltage-gated L-type calcium channel alpha-1C subunit,Q13936,SINGLE PROTEIN,Homo sapiens,491,621,9606,FALSE
CHEMBL6007,Transient receptor potential cation channel subfamily A member 1,O75762,SINGLE PROTEIN,Homo sapiens,1002,1803,9606,FALSE
CHEMBL2417348,Short transient receptor potential channel 3,Q13507,SINGLE PROTEIN,Homo sapiens,55,69,9606,FALSE
CHEMBL4523613,KCNMA1/KCNMB4,Q12791|Q86W47,PROTEIN COMPLEX,Homo sapiens,7,8,9606,FALSE
CHEMBL2362995,Voltage-gated T-type calcium channel,O95180|O43497|Q9P0X4,PROTEIN FAMILY,Homo sapiens,1,1,9606,FALSE
CHEMBL4138,Voltage-gated L-type calcium channel alpha-1D subunit,Q01668,SINGLE PROTEIN,Homo sapiens,32,39,9606,FALSE
CHEMBL2362996,Voltage-gated potassium channel,P51787|Q9UK17|Q12809|P16389|Q09470|O43526|O43525|Q96RP8|Q9NR82|P56696|O95259|P22459|P22460|P22001|P17658|P48547|Q9NZV8|Q92953|Q03721|Q14003|Q14721|Q16322|Q6PIU1|Q8NCM2|Q8TAE7|Q8TDN1|Q8TDN2|Q96KK3|Q96L42|Q96PR1|Q9BQ31|Q9H252|Q9H3M0|Q9NS40|Q9NSA2|Q9UIX4|Q9UJ96|Q9ULD8|Q9ULS6|Q9UQ05,PROTEIN FAMILY,Homo sapiens,24,24,9606,FALSE
CHEMBL1628462,Cation channel sperm-associated protein 1,Q8NEC5,SINGLE PROTEIN,Homo sapiens,11,15,9606,FALSE
CHEMBL4469,Small conductance calcium-activated potassium channel protein 2,Q9H2S1,SINGLE PROTEIN,Homo sapiens,18,20,9606,FALSE
CHEMBL2773,Voltage-gated potassium channel subunit Kv1.7,Q96RP8,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL5202,Sodium channel protein type VIII alpha subunit,Q9UQD0,SINGLE PROTEIN,Homo sapiens,123,232,9606,FALSE
CHEMBL1687682,Voltage-dependent R-type calcium channel subunit alpha-1E,Q15878,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4523624,Fibroblast growth factor 14/SCN8A,Q9UQD0|Q92915,PROTEIN-PROTEIN INTERACTION,Homo sapiens,8,21,9606,FALSE
CHEMBL2684,Voltage-gated potassium channel subunit Kv7.3,O43525,SINGLE PROTEIN,Homo sapiens,16,19,9606,FALSE
CHEMBL2321618,Potassium voltage-gated channel subfamily B member 2,Q92953,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL2321615,Potassium channel subfamily K member 2,O95069,SINGLE PROTEIN,Homo sapiens,198,486,9606,FALSE
CHEMBL4523661,TRPC4/TRPC1,Q9UBN4|P48995,PROTEIN COMPLEX,Homo sapiens,7,20,9606,FALSE
CHEMBL2369,Small conductance calcium-activated potassium channel protein 1,Q92952,SINGLE PROTEIN,Homo sapiens,19,21,9606,FALSE
CHEMBL2363063,KCNQ (Kv7) potassium channel,P51787|O43526|O43525|Q9NR82|P56696,PROTEIN FAMILY,Homo sapiens,,,9606,FALSE
CHEMBL3707192,Voltage-gated potassium channel KCNQ3/KCNQ4,O43525|P56696,PROTEIN COMPLEX,Homo sapiens,,,9606,FALSE
CHEMBL1293292,ATP-sensitive inward rectifier potassium channel 1,P48048,SINGLE PROTEIN,Homo sapiens,651,859,9606,FALSE
CHEMBL5279,Voltage-gated potassium channel subunit Kv1.6,P17658,SINGLE PROTEIN,Homo sapiens,20,20,9606,FALSE
CHEMBL3841,Voltage-gated potassium channel subunit Kv10.1,O95259,SINGLE PROTEIN,Homo sapiens,10,10,9606,FALSE
CHEMBL5451,Sodium channel protein type X alpha subunit,Q9Y5Y9,SINGLE PROTEIN,Homo sapiens,309,395,9606,FALSE
CHEMBL1250411,Short transient receptor potential channel 5,Q9UL62,SINGLE PROTEIN,Homo sapiens,159,222,9606,FALSE
CHEMBL1914278,G protein-activated inward rectifier potassium channel 4,P48544,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL4524043,Mucolipin-1,Q9GZU1,SINGLE PROTEIN,Homo sapiens,19,56,9606,FALSE
CHEMBL3576,Voltage-gated potassium channel subunit Kv7.4,P56696,SINGLE PROTEIN,Homo sapiens,67,89,9606,FALSE
CHEMBL2097170,Voltage-gated N-type calcium channel alpha-1B subunit/Amyloid beta A4 precursor protein-binding family A member 1,Q00975|Q02410,PROTEIN-PROTEIN INTERACTION,Homo sapiens,451,925,9606,FALSE
CHEMBL3430890,Voltage-gated potassium channel subunit Kv7.1/Misshapen-like kinase 1,P51787|Q8N4C8,PROTEIN COMPLEX,Homo sapiens,5,7,9606,FALSE
CHEMBL1628474,Transient receptor potential cation channel subfamily V member 5,Q9NQA5,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL4523662,TRPC3/TRPC6,Q9Y210|Q13507,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
CHEMBL5558,Voltage-gated T-type calcium channel alpha-1I subunit,Q9P0X4,SINGLE PROTEIN,Homo sapiens,359,419,9606,FALSE
CHEMBL2072,Sodium channel protein type IV alpha subunit,P35499,SINGLE PROTEIN,Homo sapiens,412,553,9606,FALSE
