ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL3885575,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3/theta,P28472|Q9UN88|P34903,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
CHEMBL2675,Glutamate receptor ionotropic kainate 5,Q16478,SINGLE PROTEIN,Homo sapiens,37,42,9606,FALSE
CHEMBL4296045,Gamma-aminobutyric acid receptor subunit beta-1/beta-2,P47870|P18505,PROTEIN COMPLEX,Homo sapiens,14,14,9606,FALSE
CHEMBL4046,"Inositol 1,4,5-trisphosphate receptor type 1",Q14643,SINGLE PROTEIN,Homo sapiens,9,23,9606,FALSE
CHEMBL3038461,Nicotinic acetylcholine receptor alpha4/beta2/alpha5,P17787|P43681|P30532,PROTEIN COMPLEX,Homo sapiens,52,114,9606,FALSE
CHEMBL4524133,Nicotinic Acetylcholine Receptor,P02708|P07510|P11230|P17787|P30926|P32297|P43681|Q07001|Q15822|Q9UGM1|Q15825|P30532|Q04844|P36544|Q9GZZ6|Q05901,PROTEIN COMPLEX GROUP,Homo sapiens,1,1,9606,FALSE
CHEMBL2111392,GABA A receptor alpha-1/beta-1/gamma-2,P14867|P18507|P18505,PROTEIN COMPLEX,Homo sapiens,38,83,9606,FALSE
CHEMBL3561,GABA receptor rho-1 subunit,P24046,SINGLE PROTEIN,Homo sapiens,135,233,9606,FALSE
CHEMBL3038459,Nicotinic acetylcholine receptor alpha2/beta4,P02708|P30926,PROTEIN COMPLEX,Homo sapiens,19,22,9606,FALSE
CHEMBL2109237,Neuronal acetylcholine receptor; alpha6/beta2,P17787|Q15825,PROTEIN COMPLEX,Homo sapiens,6,6,9606,FALSE
CHEMBL2111332,Serotonin 3 (5-HT3) receptor,P46098|O95264,PROTEIN COMPLEX,Homo sapiens,5,7,9606,FALSE
CHEMBL1907603,Glutamate NMDA receptor; GRIN1/GRIN2B,Q05586|Q13224,PROTEIN COMPLEX,Homo sapiens,442,675,9606,FALSE
CHEMBL2109244,GABA-A receptor; agonist GABA site,P14867|P47870|P28472|P48169|P34903|P18505|P47869|P31644|Q16445,PROTEIN COMPLEX GROUP,Homo sapiens,97,140,9606,FALSE
CHEMBL4888445,Neuronal acetylcholine receptor subunit alpha-6/alpha-3,P32297|Q15825,PROTEIN COMPLEX,Homo sapiens,3,3,9606,FALSE
CHEMBL4016,"Glutamate receptor ionotropic, AMPA 2",P42262,SINGLE PROTEIN,Homo sapiens,391,794,9606,FALSE
CHEMBL2363052,Glycine receptor (alpha-1/beta),P23415|P48167,PROTEIN COMPLEX,Homo sapiens,50,119,9606,FALSE
CHEMBL4296110,GRIA1/CACNG8,P42261|Q8WXS5,PROTEIN COMPLEX,Homo sapiens,20,20,9606,FALSE
CHEMBL5845,Glycine receptor subunit alpha-1,P23415,SINGLE PROTEIN,Homo sapiens,157,392,9606,FALSE
CHEMBL2375,GABA receptor rho-2 subunit,P28476,SINGLE PROTEIN,Homo sapiens,9,11,9606,FALSE
CHEMBL2015,Glutamate (NMDA) receptor subunit zeta 1,Q05586,SINGLE PROTEIN,Homo sapiens,78,121,9606,FALSE
CHEMBL2184,Neuronal acetylcholine receptor protein alpha-9 subunit,Q9UGM1,SINGLE PROTEIN,Homo sapiens,1,1,9606,FALSE
CHEMBL3885571,Gamma-aminobutyric acid receptor subunit alpha-2/beta-2,P47870|P47869,PROTEIN COMPLEX,Homo sapiens,3,6,9606,FALSE
CHEMBL4106157,GABA-A receptor alpha-4/beta-3/delta,P28472|P48169|Q06278,PROTEIN COMPLEX,Homo sapiens,21,21,9606,FALSE
CHEMBL2579,GABA receptor alpha-6 subunit,Q16445,SINGLE PROTEIN,Homo sapiens,2,2,9606,FALSE
CHEMBL3684,Glutamate receptor ionotropic kainate 3,Q13003,SINGLE PROTEIN,Homo sapiens,27,34,9606,FALSE
CHEMBL3885573,Gamma-aminobutyric acid receptor subunit alpha-3/ beta-3/gamma-3,P28472|Q99928|P34903,PROTEIN COMPLEX,Homo sapiens,1,2,9606,FALSE
CHEMBL4804182,Neuronal acetylcholine receptor,P17787|P30926|P32297|P43681|Q15822|Q9UGM1|Q15825|P30532|P36544|Q9GZZ6|Q05901,PROTEIN COMPLEX GROUP,Homo sapiens,3,5,9606,FALSE
CHEMBL3885577,Gamma-aminobutyric acid receptor subunit alpha-5/beta-3/gamma-3,P28472|Q99928|P31644,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
CHEMBL1882,Neuronal acetylcholine receptor protein alpha-4 subunit,P43681,SINGLE PROTEIN,Homo sapiens,84,84,9606,FALSE
CHEMBL4296044,Gamma-aminobutyric acid receptor subunit alpha-1/beta-2/delta,P14867|P47870|O14764,PROTEIN COMPLEX,Homo sapiens,8,20,9606,FALSE
CHEMBL3430899,Gamma-aminobutyric acid receptor subunit alpha-4/beta3/delta,P28472|P48169|O14764,PROTEIN COMPLEX,Homo sapiens,21,21,9606,FALSE
CHEMBL2670,P2X purinoceptor 6,O15547,SINGLE PROTEIN,Homo sapiens,3,3,9606,FALSE
CHEMBL2104,P2X purinoceptor 4,Q99571,SINGLE PROTEIN,Homo sapiens,231,405,9606,FALSE
CHEMBL4296046,Gamma-aminobutyric acid receptor subunit alpha-4/beta-2/delta,P47870|P48169|O14764,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
CHEMBL3885574,Gamma-aminobutyric acid receptor subunit alpha-3/beta-3,P28472|P34903,PROTEIN COMPLEX,Homo sapiens,2,2,9606,FALSE
CHEMBL4106144,Glycine receptor alpha-3/beta,O75311|P48167,PROTEIN COMPLEX,Homo sapiens,213,286,9606,FALSE
CHEMBL4106145,Nicotinic acetylcholine receptor alpha-1/beta-1/delta/epsilon,P02708|P11230|Q07001|Q04844,PROTEIN COMPLEX,Homo sapiens,32,33,9606,FALSE
CHEMBL3137272,Nicotinic acetylcholine receptor alpha3/beta2/alpha5,P17787|P32297|P30532,PROTEIN COMPLEX,Homo sapiens,2,2,9606,FALSE
CHEMBL2591,Glutamate [NMDA] receptor subunit epsilon 4,O15399,SINGLE PROTEIN,Homo sapiens,20,24,9606,FALSE
CHEMBL4296057,Gamma-aminobutyric acid receptor subunit alpha-5/beta-3,P28472|P31644,PROTEIN COMPLEX,Homo sapiens,1,1,9606,FALSE
